t1;t2;t3;t4;t5;;;;;;;;;;;;;;
29;34;22;25;28;;;;;;;;;;;;;;
29;33;22;25;27;;;;;;;;;;;;;;
29;34;22;26;28;;;;;;;;;;;;;;
29;34;22;26;28;;;;;;;;;;;;;;
29;34;22;25;28;;;;;;;;;;;;;;
29;34;22;26;28;;;;;;;;;;;;;;
29;34;22;25;28;;;;;;;;;;;;;;
29;34;22;25;28;;;;;;;;;;;;;;
29;33;22;25;27;;;;;;;;;;;;;;
29;33;22;25;27;;;;;;;;;;;;;;
29;34;22;25;28;;;;;;;;;;;;;;
29;34;22;25;28;;;;;;;;;;;;;;
29;33;22;25;27;;;;;;;;;;;;;;
29;34;23;25;28;;;;;;;;;;;;;;
29;33;23;25;28;;;;;;;;;;;;;;
29;34;23;25;28;;;;;;;;;;;;;;
29;34;23;26;28;;;;;;;;;;;;;;
29;33;23;25;28;;;;;;;;;;;;;;
29;34;23;25;28;;;;;;;;;;;;;;
29;33;23;25;28;;;;;;;;;;;;;;
29;34;22;25;28;;;;;;;;;;;;;;
29;33;23;25;28;;;;;;;;;;;;;;
29;34;23;25;28;;;;;;;;;;;;;;
29;33;22;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;26;28;;;;;;;;;;;;;;
29;33;23;25;28;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
29;34;23;25;28;;;;;;;;;;;;;;
29;33;23;25;28;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;32;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;24;25;28;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;33;23;25;27;;;;;;;;;;;;;;
28;32;24;25;27;;;;;;;;;;;;;;
27;33;24;25;27;;;;;;;;;;;;;;
28;33;24;24;27;;;;;;;;;;;;;;
27;33;23;25;27;;;;;;;;;;;;;;
27;33;24;25;27;;;;;;;;;;;;;;
27;33;23;25;27;;;;;;;;;;;;;;
27;32;23;25;27;;;;;;;;;;;;;;
27;33;24;25;27;;;;;;;;;;;;;;
27;33;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;33;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;33;24;25;27;;;;;;;;;;;;;;
27;33;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;31;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
26;32;24;24;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;25;25;27;;;;;;;;;;;;;;
26;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;25;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;25;25;27;;;;;;;;;;;;;;
27;32;25;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
27;32;25;25;27;;;;;;;;;;;;;;
27;32;25;25;27;;;;;;;;;;;;;;
27;32;24;25;27;;;;;;;;;;;;;;
26;32;25;25;27;;;;;;;;;;;;;;
27;31;25;24;27;;;;;;;;;;;;;;
27;31;25;25;27;;;;;;;;;;;;;;
26;32;25;25;27;;;;;;;;;;;;;;
26;32;25;25;27;;;;;;;;;;;;;;
26;31;25;25;27;;;;;;;;;;;;;;
27;32;25;25;27;;;;;;;;;;;;;;
26;31;25;25;27;;;;;;;;;;;;;;
26;31;25;25;27;;;;;;;;;;;;;;
26;31;25;25;27;;;;;;;;;;;;;;
